姓名,性别,出生年份,学历,职业经历
高管1,女,2000,本科,"华为-CFO,Facebook-CFO,Facebook-CEO"
高管2,女,1989,本科,"百度-CEO,阿里巴巴-CFO,亚马逊-COO"
高管3,女,1992,博士,"谷歌-CTO,腾讯-COO,百度-COO"
高管4,女,1989,本科,"IBM-COO,苹果-CFO,微软-COO"
高管5,男,1960,本科,"谷歌-COO,苹果-CFO,百度-COO"
高管6,女,1962,本科,"阿里巴巴-CEO,微软-CFO,谷歌-CFO"
高管7,女,1968,本科,"苹果-CFO,腾讯-CEO,亚马逊-CTO"
高管8,男,1998,硕士,"百度-CFO,Facebook-CFO,亚马逊-CFO"
高管9,男,1982,本科,"亚马逊-CEO,亚马逊-CTO,阿里巴巴-CEO"
高管10,女,1974,硕士,"Facebook-COO,亚马逊-CFO,阿里巴巴-CTO"
高管11,男,1962,硕士,"亚马逊-CEO,阿里巴巴-COO,腾讯-COO"
高管12,男,1989,本科,"Facebook-CFO,亚马逊-CFO,Facebook-CFO"
高管13,女,1969,博士,"百度-CEO,IBM-CTO,腾讯-CEO"
高管14,女,1997,本科,"谷歌-CEO,IBM-COO,苹果-CTO"
高管15,男,1980,博士,"亚马逊-CTO,IBM-CEO,苹果-COO"
高管16,男,1996,硕士,"苹果-CTO,华为-CEO,腾讯-COO"
高管17,女,1996,博士,"微软-CEO,微软-CTO,亚马逊-CEO"
高管18,女,1986,博士,"百度-CTO,微软-CEO,苹果-COO"
高管19,男,1987,博士,"苹果-CEO,谷歌-CFO,腾讯-CTO"
高管20,女,1969,本科,"谷歌-CFO,苹果-CTO,IBM-CEO"
高管21,女,1985,博士,"微软-CEO,腾讯-CEO,Facebook-CFO"
高管22,男,1985,博士,"华为-CEO,Facebook-CEO,百度-CTO"
高管23,男,1975,博士,"百度-CTO,Facebook-CTO,微软-COO"
高管24,男,1968,硕士,"Facebook-CEO,百度-CEO,苹果-CEO"
高管25,男,1968,本科,"亚马逊-CEO,谷歌-CTO,华为-COO"
高管26,女,1980,硕士,"微软-CEO,华为-CFO,腾讯-CEO"
高管27,男,1975,本科,"百度-COO,阿里巴巴-COO,腾讯-CEO"
高管28,男,1964,硕士,"谷歌-CEO,百度-CFO,阿里巴巴-CTO"
高管29,女,1967,硕士,"微软-CFO,苹果-CFO,谷歌-CFO"
高管30,女,1972,硕士,"亚马逊-CEO,华为-CEO,华为-COO"
高管31,男,1993,硕士,"Facebook-CTO,微软-CEO,百度-CTO"
高管32,女,1975,博士,"IBM-CFO,IBM-CFO,微软-CEO"
高管33,男,1978,博士,"Facebook-COO,Facebook-CEO,腾讯-CTO"
高管34,女,1983,本科,"Facebook-CEO,微软-CFO,谷歌-CFO"
高管35,男,1974,博士,"华为-CEO,阿里巴巴-CFO,苹果-COO"
高管36,女,1963,本科,"苹果-CFO,亚马逊-CTO,Facebook-CTO"
高管37,女,1963,博士,"腾讯-CTO,阿里巴巴-COO,IBM-CEO"
高管38,女,1963,本科,"百度-COO,苹果-CFO,百度-CEO"
高管39,男,1968,硕士,"Facebook-COO,IBM-CTO,IBM-CEO"
高管40,男,1984,本科,"IBM-CEO,苹果-COO,谷歌-COO"
高管41,男,1964,本科,"微软-CEO,微软-COO,百度-CEO"
高管42,男,1968,本科,"阿里巴巴-CTO,谷歌-CTO,Facebook-COO"
高管43,男,1968,硕士,"亚马逊-CEO,百度-CFO,谷歌-COO"
高管44,男,2000,硕士,"阿里巴巴-CEO,华为-CFO,腾讯-CEO"
高管45,男,1991,博士,"腾讯-CFO,微软-CFO,百度-CFO"
高管46,女,1992,博士,"腾讯-COO,阿里巴巴-CEO,百度-CEO"
高管47,男,1965,博士,"Facebook-CEO,Facebook-COO,阿里巴巴-CEO"
高管48,男,1980,硕士,"华为-CFO,阿里巴巴-CFO,Facebook-COO"
高管49,女,1986,本科,"百度-CEO,腾讯-CFO,亚马逊-CFO"
高管50,男,1994,本科,"IBM-CFO,微软-CFO,苹果-CEO"
