review,label
挺辣的，吃着还可以吧,1
这次没给拿醋…腔骨很咸。,0
味道还行，就是送餐太慢了……,0
"我马上就要饿死了,跟我说马上就到,马上就到,这马是没吃草吗,下次别放那咸菜了,味道难闻的要死",0
宫爆鸡丁做的还没有小餐馆的好吃，菜单里面没有米饭，商家打来电话说米饭一盒5块，2块一碗，里面有两碗，餐盒单收费，我也是醉了……就这一次，再也不要吃他家饭了,0
都说了，面和卤分开的！每回都忘！！！！,0
"还行，小炒肉,就是不辣",0
又一次晚送,0
还蛮快的，味道也还不错，我喜欢~,1
饭和菜一共就半碗，一个鸡蛋也没熟，没肉，30，真差！恶心！,0
如果加酱汁就好了,1
挺不错的，快递员找了好久才找到，很辛苦,1
"菜量很大,送的很快,但西红柿炒鸡蛋不好吃",0
非常快，很不错，力荐！,1
不愧是宇宙卷饼，送餐慢到宇宙外了，商家电话永远在通话中和关机中间，好不容易打通一次，结果给挂断了，差评！强烈要求这样的商家撤出百度外卖！,0
送餐有些慢，菜的味道不错,0
粥洒出很多，配送人让去电梯门口等,0
配送员有礼貌，配送速度快！,1
百度骑士非常快，菜品也很不错，好像有所升级,1
"送餐快,送餐大哥态度好,辛苦啦",1
